REGION_COUNTRY;1970_URBAN;1975_URBAN;1980_URBAN;1985_URBAN;1990_URBAN;1994_URBAN;2000_URBAN;2002_URBAN;2004_URBAN;2005_URBAN;2008_URBAN;1970_RURAL;1975_RURAL;1980_RURAL;1985_RURAL;1990_RURAL;1994_RURAL;2000_RURAL;2002_RURAL;2004_RURAL;2005_RURAL;2008_RURAL;1970_TOTAL;1975_TOTAL;1980_TOTAL;1985_TOTAL;1990_TOTAL;1994_TOTAL;2000_TOTAL;2002_TOTAL;2004_TOTAL;2005_TOTAL;2008_TOTAL
AFRICA;47;75;57;75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Algeria;13;100;NA;80;NA;NA;90;99;99;98;98;6;50;NA;40;NA;NA;47;82;NA;86;88;9;67;NA;57;NA;NA;73;92;92;94;95
Angola;NA;NA;40;29;25;34;70;56;56;80;86;NA;NA;15;16;20;8;30;16;25;15;18;NA;NA;20;19;21.4;16;44;30;31;50;57
Benin;83;NA;48;58;60;54;46;58;59;22;24;1;NA;4;20;35;6;6;12;60;3;4;14;NA;16;33;44.5;20;23;32.24;33;11;12
Botswana;NA;NA;NA;93;100;NA;NA;57;57;72;74;NA;NA;NA;28;85;NA;NA;25;100;36;39;NA;NA;NA;40;88.75;NA;NA;41.32;42;57;60
Burkina Faso;49;47;38;44;NA;42;88;45;42;32;33;NA;NA;5;6;NA;11;16;5;NA;6;6;4;4;7;9;NA;18;29;11.8;13;11;11
Burundi;96;NA;40;84;64;60;79;47;47;49;49;NA;NA;35;56;16;50;NA;35;64;46;46;NA;NA;35;58;18.4;51;NA;36.2;36;46;46
Cameroon;NA;NA;NA;100;NA;NA;99;63;58;58;56;NA;NA;NA;1;NA;NA;85;33;NA;35;35;NA;NA;NA;43;NA;NA;92;48.3;51;47;47
Cape Verde;NA;NA;34;32;NA;40;95;61;61;65;65;NA;NA;10;9;NA;10;32;19;NA;34;38;NA;NA;11;10;NA;24;71;42.1;43;52;54
Central African Republic;64;100;NA;NA;45;NA;43;47;47;39;43;96;100;NA;NA;46;NA;23;12;45;23;28;72;100;NA;NA;45.53;46;31;26.7;27;29;34
Chad;7;9;NA;NA;NA;73;81;30;24;23;23;NA;1;NA;NA;NA;7;13;0;NA;4;4;1;1;NA;NA;NA;21;29;7.5;9;9;9
Comoros;NA;NA;NA;NA;NA;NA;98;38;41;49;50;NA;NA;NA;NA;NA;NA;98;15;NA;29;30;NA;NA;NA;NA;NA;NA;98;22.82;33;35;36
Congo;8;10;NA;NA;NA;NA;14;14;28;31;31;6;9;NA;NA;NA;NA;NA;2;NA;29;29;6;9;NA;NA;NA;NA;NA;9;27;30;30
Congo, Democratic Republic;5;65;NA;NA;46;23;53;43;42;23;23;5;6;NA;9;11;4;6;23;46;19;23;5;22;NA;NA;20.8;9;20;29.2;30;20;23
Cote DIvoire;23;NA;NA;NA;81;59;NA;61;46;37;36;NA;NA;NA;NA;100;51;NA;23;81;11;11;5;NA;NA;NA;92.4;54;NA;39.72;37;23;23
Djibouti;NA;NA;43;78;NA;77;99;55;88;65;63;NA;NA;20;17;NA;100;50;27;NA;18;10;NA;NA;39;64;NA;90;91;50.24;82;58;56
Egypt;NA;NA;NA;NA;80;20;98;84;86;97;97;NA;NA;10;NA;26;5;91;56;80;90;92;NA;NA;NA;NA;49.76;11;94;67.76;70;93;94
Equatorial Guinea;NA;NA;NA;NA;54;61;60;60;60;60;NA;NA;NA;NA;NA;24;48;46;46;54;46;NA;NA;NA;NA;NA;32.7;54;53;52.58;53;51;NA
Eritrea;NA;NA;NA;NA;NA;NA;66;34;32;52;52;NA;NA;NA;NA;NA;NA;1;3;NA;4;4;NA;NA;NA;NA;NA;NA;13;9.2;9;13;14
Ethiopia;67;56;NA;96;NA;NA;58;19;44;28;29;8;8;NA;96;NA;NA;6;4;NA;7;8;14;14;NA;NA;NA;NA;15;6.25;13;10;12
Gabon;NA;NA;NA;NA;NA;NA;25;37;37;34;33;NA;NA;NA;NA;NA;NA;4;30;NA;30;30;NA;NA;NA;NA;NA;NA;21;35.81;36;33;33
Gambia;NA;NA;NA;NA;100;83;41;72;72;67;68;NA;NA;NA;NA;27;23;35;46;100;63;65;NA;NA;NA;NA;43.79;37;37;52.76;53;65;67
Ghana;92;95;47;51;63;53;62;74;27;17;18;40;40;17;16;60;36;64;46;63;6;7;55;56;26;30;61.02;42;63;58;18;11;13
Guinea;70;NA;54;NA;NA;NA;94;25;31;31;34;2;NA;1;NA;0;NA;41;6;NA;10;11;13;NA;11;NA;NA;70;58;13;18;17;19
Guinea-Bissau;NA;NA;21;29;NA;32;88;57;57;47;49;NA;NA;13;18;NA;17;34;23;NA;8;9;NA;NA;15;21;NA;20;47;34.22;35;20;21
Kenya;85;98;89;NA;NA;69;96;56;46;27;27;45;48;19;NA;NA;81;81;43;NA;31;32;50;55;30;NA;NA;77;86;47.94;43;30;31
Lesotho;44;51;13;22;NA;1;93;61;61;39;40;10;12;14;14;NA;7;96;32;NA;25;25;11;13;14;15;NA;6;92;37.22;37;28;29
Liberia;100;NA;NA;6;NA;38;NA;49;49;24;25;9;NA;NA;2;NA;2;NA;7;NA;4;4;19;NA;NA;NA;NA;18;NA;26.32;27;16;17
Libya;100;100;100;NA;NA;NA;97;97;97;97;97;54;69;72;NA;NA;NA;30;96;NA;96;96;67;79;88;NA;NA;NA;97;96.86;97;97;97
Madagascar;88;NA;9;55;NA;50;70;49;48;15;15;NA;9;NA;NA;NA;3;70;27;NA;9;10;NA;NA;NA;NA;NA;15;42;32.72;34;11;11
Malawi;NA;NA;100;NA;NA;70;96;66;62;51;51;NA;NA;81;NA;NA;51;98;42;NA;55;57;NA;NA;83;NA;NA;53;77;45.84;61;54;56
Mali;63;NA;79;90;81;58;93;59;59;44;45;NA;NA;NA;3;10;21;100;38;81;31;32;8;NA;NA;19;27.04;31;69;44.72;46;35;36
Mauritania;100;NA;5;8;NA;NA;44;64;49;45;50;NA;NA;NA;NA;NA;NA;19;9;NA;9;9;7;NA;NA;NA;NA;NA;33;42;34;24;26
Mauritius;51;63;100;100;100;100;100;100;95;93;93;99;100;90;86;100;100;99;99;100;90;90;77;82;94;92;100;100;99;99.43;94;91;91
Morocco;75;NA;NA;62;100;69;100;83;88;83;83;4;NA;NA;16;NA;18;42;31;100;50;52;29;NA;NA;NA;NA;40;75;60.64;73;68;69
Mozambique;NA;NA;NA;53;NA;70;69;51;53;37;38;NA;NA;NA;12;NA;70;26;14;NA;4;4;NA;NA;NA;20;NA;NA;43;26.58;32;15;17
Namibia;NA;NA;NA;NA;24;NA;96;66;50;61;60;NA;NA;NA;NA;11;NA;17;14;24;15;17;NA;NA;NA;NA;14.64;NA;41;30;25;31;33
Niger;10;30;36;NA;71;71;79;43;43;32;34;NA;1;3;NA;4;4;5;4;71;4;4;1;3;7;NA;17.4;15;20;12;13;9;9
Nigeria;NA;NA;NA;NA;80;61;85;48;53;36;36;NA;NA;NA;5;11;21;45;30;80;29;28;NA;NA;NA;NA;35.15;36;63;38.28;44;32;32
Reunion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rwanda;83;87;60;77;88;NA;12;56;56;47;50;52;56;50;55;17;NA;8;38;88;49;55;53;57;51;56;21.26;NA;8;40.88;42;49;54
Sao Tome and Principe;NA;NA;NA;NA;NA;NA;NA;32;32;29;30;NA;NA;NA;15;NA;NA;NA;20;NA;17;19;NA;NA;NA;15;NA;NA;NA;24;25;24;26
Senegal;NA;NA;100;87;57;83;94;70;79;68;69;NA;NA;2;NA;38;40;48;34;57;36;38;NA;NA;36;NA;45.6;58;70;51.64;57;49;51
Seychelles;NA;NA;NA;NA;NA;NA;NA;NA;NA;96;97;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sierra Leone;NA;NA;31;60;55;17;23;53;53;23;24;NA;NA;6;10;31;8;31;30;55;6;6;NA;NA;12;24;38.68;11;28;38.74;39;12;13
Somalia;  ;77;NA;44;NA;NA;NA;47;48;50;52;NA;35;NA;5;NA;NA;NA;14;NA;7;6;NA;47;NA;18;NA;NA;NA;25.22;26;22;23
South Africa;NA;NA;NA;NA;NA;79;99;86;79;83;84;NA;NA;NA;NA;NA;12;73;44;NA;64;65;NA;NA;NA;NA;NA;46;86;67;65;75;77
Sudan;100;100;73;73;NA;79;87;50;50;56;55;4;10;NA;NA;NA;4;48;24;NA;19;18;16;22;NA;NA;NA;22;62;33.88;34;34;34
Swaziland;  ;99;NA;100;NA;36;NA;78;59;61;61;NA;25;NA;25;NA;37;NA;44;NA;50;53;NA;36;NA;45;NA;36;NA;51.82;48;53;55
Tanzania;  ;88;NA;93;NA;NA;98;54;53;31;32;NA;14;NA;58;NA;NA;86;41;NA;22;21;NA;17;66;NA;NA;NA;90;46;47;24;24
Togo;4;36;24;31;NA;57;69;71;71;24;24;NA;12;10;9;NA;13;17;15;NA;4;3;1;15;13;14;NA;26;34;34;35;12;12
Tunisia;100;NA;100;84;NA;100;NA;90;96;96;96;34;NA;NA;16;NA;85;NA;62;NA;64;64;62;NA;NA;55;NA;96;NA;79.64;85;85;85
Uganda;84;82;NA;32;32;75;96;53;54;37;38;76;95;NA;30;60;55;72;39;32;48;49;76;94;NA;30;56.92;57;75;40.68;43;47;48
Zambia;12;87;NA;76;NA;40;99;68;59;59;59;18;16;NA;34;NA;10;64;32;NA;41;43;16;42;NA;55;NA;23;78;44.6;55;47;49
Zimbabwe;NA;NA;NA;NA;95;NA;99;69;63;57;56;NA;NA;NA;15;22;NA;51;51;95;37;37;NA;NA;NA;NA;43.17;NA;68;57.12;53;44;44
NORTH & CENTRAL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMERICA & CARIBBEAN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
