REGION;COUNTRY;YEAR;TOTAL_FRESHWATER_WITHDRAWAL_KM3;PER_CAPTA_WITHDRAWAL_M3;DOMESTIC_USE_1;INDUSTRIAL_USE_1;AGRICULTURAL_USE_1;DOMESTIC_USE_2;INDUSTRIAL_USE_2;AGRICULTURAL_USE_2;POPULATTION_MILLIONS
AFRICA;Algeria;2000;6.07;171.359580746625;21.9785046547979;13.1917764299764;64.8297189152257;37.6622734308391;22.6053727834396;111.091934532346;35.422589
AFRICA;Angola;2000;0.35;18.4281261223058;23;17;60;4.23846900813033;3.13278144079198;11.0568756733835;18.992707
AFRICA;Benin;2001;0.13;14.1124245677337;32;23;45;4.51597586167479;3.24585765057876;6.35059105548017;9.211741
AFRICA;Botswana;2000;0.19;96.0775578500674;41;18;41;39.3917987185276;17.2939604130121;39.3917987185276;1.977569
AFRICA;Burkina Faso;2000;0.8;49.1198158792822;13;1;86;6.38557606430668;0.491198158792822;42.2430416561827;16.286706
AFRICA;Burundi;2000;0.29;34.0421056239672;16.9141577223456;6;77;5.75793543724529;2.04252633743803;26.2124213304547;8.518862
AFRICA;Cameroon;2000;0.99;49.603296384556;18.1103705444904;8.04883390258152;73.8407955529281;8.98334077752489;3.99248693619814;36.627468670833;19.958351
AFRICA;Cape Verde;2000;0.02;39.018147340328;7;2;91;2.73127031382296;0.78036294680656;35.5065140796985;0.512582
AFRICA;Central African Republic;2000;0.03;6.65787087947145;80;16;4.4930554943145;5.32629670357716;1.06525934071543;0.299141833354457;4.505945
AFRICA;Chad;2000;0.23;19.9893448101143;17;0;83;3.39818861771943;0;16.5911561923948;11.50613
AFRICA;Comoros;1999;0.01;14.4644326832535;48;5;47;6.94292768796169;0.723221634162676;6.79828336112915;0.691351
AFRICA;Congo, Democratic Republic (formerly Zaire);2000;0.36;5.30758212432878;53;17;31.4662660654084;2.81301852589426;0.902288961135893;1.67009791288135;67.827495
AFRICA;Congo, Republic of;2000;0.03;7.98152967612549;59.2689542859248;29;12;4.73056917506034;2.31464360607639;0.957783561135059;3.758678
AFRICA;Cote DIvoire;2000;0.93;43.1139470095286;24;11.8170506530518;64.9132238964016;10.3473472822869;5.09479695664591;27.9866529528712;21.570746
AFRICA;Djibouti;2000;0.02;22.7517567200157;84;0;16;19.1114756448132;0;3.64028107520252;0.879053
AFRICA;Egypt;2000;68.3;808.528716033789;7.6165485671949;6;86;61.5819823364309;48.5117229620273;695.334695789058;84.474427
AFRICA;Equatorial Guinea;2000;0.11;158.64202427223;83.0162913755206;16.037463285255;0.946245339224441;131.698725113858;25.4421563976442;1.50114276072728;0.693385
AFRICA;Eritrea;2004;0.582;111.409010040976;5.326;0.1718;94.5;5.9336438747824;0.191400679250397;105.281514488723;5.223994
AFRICA;Ethiopia;2002;5.558;65.4070063354417;6;0;94;3.9244203801265;0;61.4825859553152;84.975606
AFRICA;Gabon;2000;0.12;79.9325369388236;50;8;42;39.9662684694118;6.39460295510589;33.5716655143059;1.501266
AFRICA;Gambia;2000;0.03;17.1356895287228;23;12;65;3.94120859160625;2.05628274344674;11.1381981936698;1.750732
AFRICA;Ghana;2000;0.98;40.2749298219622;24;10;66;9.66598315727093;4.02749298219622;26.5814536824951;24.332755
AFRICA;Guinea;2000;1.51;146.264610115215;7.7599070210573;2.29114341240565;89.9489495665371;11.3499977496526;3.35113197933555;131.563480386227;10.323755
AFRICA;Guinea-Bissau;2000;0.18;109.264407726208;13;5;82;14.204373004407;5.46322038631038;89.5968143354903;1.64738
AFRICA;Kenya;2003;2.735;66.9311282361262;17.18;3.656;79.16;11.4987678309665;2.44700204831277;52.9826811117175;40.8629
AFRICA;Lesotho;2000;0.05;23.9902273409904;39.9927555228887;40;20;9.59435296986749;9.59609093639615;4.79804546819808;2.084182
AFRICA;Liberia;2000;0.11;26.8177105135421;27;18;55;7.24078183865636;4.82718789243758;14.7497407824481;4.101767
AFRICA;Libya;2000;4.27;652.344720949997;14;3.01374948510902;83;91.3282609329996;19.6600356687664;541.446118388498;6.545619
AFRICA;Madagascar;2000;14.96;742.562880333907;2.82604657310839;1.56385062023678;95.6101028066548;20.9851728328514;11.6125742097499;709.965133291306;20.146442
AFRICA;Malawi;2000;1.01;64.36489311859;14.718699653156;4.71717892262361;80;9.47367530020011;3.03620717175934;51.491914494872;15.691784
AFRICA;Mali;2000;6.55;491.627176369711;9;1;90;44.246445873274;4.91627176369711;442.46445873274;13.323104
AFRICA;Mauritania;2000;1.7;505.09927429119;8.81078943149689;2.8534884008156;88.3357221676875;44.5032334778156;14.4129492045029;446.183091608871;3.365675
AFRICA;Mauritius;2000;0.61;470.472454609049;25.4593576410975;14.2141355820425;60.3265067768601;119.779264821768;66.8735925742934;283.819597212988;1.296569
AFRICA;Morocco;2000;12.6;389.113674093766;10;3;87;38.9113674093766;11.673410222813;338.528896461576;32.381283
AFRICA;Mozambique;2000;0.63;26.91655483479;11.0574897138024;2.2960434090963;86.6464668771013;2.97629528216688;0.618015783239987;23.3222437693832;23.40567
AFRICA;Namibia;2000;0.3;135.621601266163;24;4.75142550574505;71;32.5491843038792;6.44395935386033;96.2913368989759;2.212037
AFRICA;Niger;2000;2.18;137.180408976331;4;0;95.1111008760927;5.48721635905323;0;130.473797163715;15.891482
AFRICA;Nigeria;2000;8.01;50.6132618107073;21.0741270401358;10.1268339473726;68.7990390124916;10.666303093145;5.12552097891929;34.821437738643;158.258917
AFRICA;Rwanda;2000;0.15;14.5953980515338;24;8;68;3.50289553236812;1.16763184412271;9.924870675043;10.277212
AFRICA;Senegal;2002;2.22;172.618680591448;4;3;93;6.9047472236579;5.17856041774343;160.535372950046;12.860717
